,date,txn_count
1578,2016-08-06,277966
1579,2016-08-07,275107
1580,2016-08-08,237039
1581,2016-08-09,221806
1582,2016-08-10,216721
1583,2016-08-11,222645
1584,2016-08-12,266544
1585,2016-08-13,283128
1586,2016-08-14,287263
1587,2016-08-15,265598
1588,2016-08-16,241420
1589,2016-08-17,236710
1590,2016-08-18,242443
1591,2016-08-19,287761
1592,2016-08-20,305680
1593,2016-08-21,327934
1594,2016-08-22,277604
1595,2016-08-23,260253
1596,2016-08-24,260631
1597,2016-08-25,274909
1598,2016-08-26,328750
1599,2016-08-27,350843
1600,2016-08-28,363908
1601,2016-08-29,314611
1602,2016-08-30,298553
1603,2016-08-31,330814
1604,2016-09-01,353554
1605,2016-09-02,386021
1606,2016-09-03,374309
1607,2016-09-04,358069
1608,2016-09-05,368734
1609,2016-09-06,292915
1610,2016-09-07,339189
1611,2016-09-08,323484
1612,2016-09-09,368337
1613,2016-09-10,382220
1614,2016-09-11,388758
1615,2016-09-12,304523
1616,2016-09-13,283790
1617,2016-09-14,271893
1618,2016-09-15,311719
1619,2016-09-16,367349
1620,2016-09-17,389609
1621,2016-09-18,391927
1622,2016-09-19,311673
1623,2016-09-20,289691
1624,2016-09-21,283570
1625,2016-09-22,296101
1626,2016-09-23,365042
1627,2016-09-24,392017
1628,2016-09-25,397298
1629,2016-09-26,324333
1630,2016-09-27,295980
1631,2016-09-28,297608
1632,2016-09-29,317604
1633,2016-09-30,425014
1634,2016-10-01,446545
1635,2016-10-02,422772
1636,2016-10-03,360534
1637,2016-10-04,319918
1638,2016-10-05,308213
1639,2016-10-06,316160
1640,2016-10-07,375463
1641,2016-10-08,398509
1642,2016-10-09,398307
1643,2016-10-10,326213
1644,2016-10-11,301448
1645,2016-10-12,307004
1646,2016-10-13,309103
1647,2016-10-14,395726
1648,2016-10-15,416131
1649,2016-10-16,414113
1650,2016-10-17,338917
1651,2016-10-18,311295
1652,2016-10-19,308603
1653,2016-10-20,324440
1654,2016-10-21,393774
1655,2016-10-22,418653
1656,2016-10-23,424182
1657,2016-10-24,348370
1658,2016-10-25,328433
1659,2016-10-26,328678
1660,2016-10-27,349578
1661,2016-10-28,429430
1662,2016-10-29,469636
1663,2016-10-30,478786
1664,2016-10-31,410691
1665,2016-11-01,399164
1666,2016-11-02,355994
1667,2016-11-03,364386
1668,2016-11-04,412371
1669,2016-11-05,439800
1670,2016-11-06,425131
1671,2016-11-07,350968
1672,2016-11-08,308582
1673,2016-11-09,293202
1674,2016-11-10,341758
1675,2016-11-11,399143
1676,2016-11-12,437068
1677,2016-11-13,448476
1678,2016-11-14,360973
1679,2016-11-15,352657
1680,2016-11-16,339750
1681,2016-11-17,348840
1682,2016-11-18,416433
1683,2016-11-19,439035
1684,2016-11-20,431625
1685,2016-11-21,345064
1686,2016-11-22,318842
1687,2016-11-23,310215
1688,2016-11-24,237901
1689,2016-11-25,230764
1690,2016-11-26,321648
1691,2016-11-27,337811
1692,2016-11-28,364303
1693,2016-11-29,363806
1694,2016-11-30,383272
1695,2016-12-01,416733
1696,2016-12-02,463941
1697,2016-12-03,481487
1698,2016-12-04,475316
1699,2016-12-05,396022
1700,2016-12-06,360670
1701,2016-12-07,347408
1702,2016-12-08,358862
1703,2016-12-09,421684
1704,2016-12-10,451038
1705,2016-12-11,439906
1706,2016-12-12,377581
1707,2016-12-13,346785
1708,2016-12-14,340794
1709,2016-12-15,379459
1710,2016-12-16,412380
1711,2016-12-17,401825
1712,2016-12-18,382003
1713,2016-12-19,346425
1714,2016-12-20,345843
1715,2016-12-21,335583
1716,2016-12-22,330891
1717,2016-12-23,345491
1718,2016-12-24,269173
1719,2016-12-25,136975
1720,2016-12-26,203391
1721,2016-12-27,330843
1722,2016-12-28,319424
1723,2016-12-29,326654
1724,2016-12-30,389794
1725,2016-12-31,409214
1726,2017-01-01,414755
1727,2017-01-02,399525
1728,2017-01-03,372243
1729,2017-01-04,335351
1730,2017-01-05,322720
1731,2017-01-06,360953
1732,2017-01-07,384383
1733,2017-01-08,392219
1734,2017-01-09,350557
1735,2017-01-10,334916
1736,2017-01-11,309511
1737,2017-01-12,320933
1738,2017-01-13,405995
1739,2017-01-14,450993
1740,2017-01-15,474079
1741,2017-01-16,437367
1742,2017-01-17,366920
1743,2017-01-18,342425
1744,2017-01-19,346320
1745,2017-01-20,419888
1746,2017-01-21,485247
1747,2017-01-22,519979
1748,2017-01-23,399988
1749,2017-01-24,343097
1750,2017-01-25,349453
1751,2017-01-26,368047
1752,2017-01-27,459893
1753,2017-01-28,520235
1754,2017-01-29,524807
1755,2017-01-30,421323
1756,2017-01-31,421407
1757,2017-02-01,439480
1758,2017-02-02,430020
1759,2017-02-03,515132
1760,2017-02-04,553498
1761,2017-02-05,649060
1762,2017-02-06,532031
1763,2017-02-07,382072
1764,2017-02-08,374897
1765,2017-02-09,398137
1766,2017-02-10,486545
1767,2017-02-11,542132
1768,2017-02-12,533686
1769,2017-02-13,421076
1770,2017-02-14,376835
1771,2017-02-15,406384
1772,2017-02-16,399273
1773,2017-02-17,483846
1774,2017-02-18,532950
1775,2017-02-19,536082
1776,2017-02-20,448257
1777,2017-02-21,399454
1778,2017-02-22,393790
1779,2017-02-23,418646
1780,2017-02-24,510221
1781,2017-02-25,571624
1782,2017-02-26,568423
1783,2017-02-27,464423
1784,2017-02-28,459481
1785,2017-03-01,499629
1786,2017-03-02,479340
1787,2017-03-03,543692
1788,2017-03-04,579058
1789,2017-03-05,572936
1790,2017-03-06,462103
1791,2017-03-07,418156
1792,2017-03-08,416946
1793,2017-03-09,433472
1794,2017-03-10,517772
1795,2017-03-11,546638
1796,2017-03-12,562179
1797,2017-03-13,504766
1798,2017-03-14,487384
1799,2017-03-15,547274
1800,2017-03-16,621989
1801,2017-03-17,559214
1802,2017-03-18,597621
1803,2017-03-19,562336
1804,2017-03-20,467312
1805,2017-03-21,414331
1806,2017-03-22,418580
1807,2017-03-23,439249
1808,2017-03-24,538045
1809,2017-03-25,574189
1810,2017-03-26,570233
1811,2017-03-27,471586
1812,2017-03-28,433446
1813,2017-03-29,438807
1814,2017-03-30,473012
1815,2017-03-31,612803
1816,2017-04-01,634749
1817,2017-04-02,626344
1818,2017-04-03,535812
1819,2017-04-04,551381
1820,2017-04-05,496603
1821,2017-04-06,495497
1822,2017-04-07,566337
1823,2017-04-08,608501
1824,2017-04-09,593290
1825,2017-04-10,499855
1826,2017-04-11,444052
1827,2017-04-12,454512
1828,2017-04-13,472273
1829,2017-04-14,551944
1830,2017-04-15,521513
1831,2017-04-16,432885
1832,2017-04-17,448980
1833,2017-04-18,454940
1834,2017-04-19,467035
1835,2017-04-20,507656
1836,2017-04-21,592299
1837,2017-04-22,609101
1838,2017-04-23,590995
1839,2017-04-24,491981
1840,2017-04-25,464277
1841,2017-04-26,475020
1842,2017-04-27,504784
1843,2017-04-28,636215
1844,2017-04-29,642828
1845,2017-04-30,634020
1846,2017-05-01,596832
1847,2017-05-02,528082
1848,2017-05-03,509912
1849,2017-05-04,514454
1850,2017-05-05,609886
1851,2017-05-06,647521
1852,2017-05-07,583745
1853,2017-05-08,496584
1854,2017-05-09,461139
1855,2017-05-10,469065
1856,2017-05-11,479509
1857,2017-05-12,544164
1858,2017-05-13,547135
1859,2017-05-14,483560
1860,2017-05-15,461909
1861,2017-05-16,451142
1862,2017-05-17,445095
1863,2017-05-18,443590
1864,2017-05-19,518976
1865,2017-05-20,524638
1866,2017-05-21,507585
1867,2017-05-22,446886
1868,2017-05-23,412509
1869,2017-05-24,414926
1870,2017-05-25,434178
1871,2017-05-26,505503
1872,2017-05-27,495427
1873,2017-05-28,476704
1874,2017-05-29,479201
1875,2017-05-30,473854
1876,2017-05-31,499010
1877,2017-06-01,518713
1878,2017-06-02,568159
1879,2017-06-03,550005
1880,2017-06-04,535751
1881,2017-06-05,464249
1882,2017-06-06,419558
1883,2017-06-07,407610
1884,2017-06-08,424929
1885,2017-06-09,494269
1886,2017-06-10,534244
1887,2017-06-11,515137
1888,2017-06-12,443041
1889,2017-06-13,426056
1890,2017-06-14,413239
1891,2017-06-15,467963
1892,2017-06-16,519893
